法規名稱,維護單位,法規分類,最後修訂(民國),最後修訂(西元),存放路徑,原始檔名,來源網址,別名,狀態
輔英科技大學學士班學生就學期間服役彈性修業實施要點,教務處,教務法規(#B),113.2.15,2024-02-15,01_行政單位/03_教務處/輔英科技大學學士班學生就學期間服役彈性修業實施要點_law11004.pdf,law11004.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law11004.pdf,,已存在
輔英科技大學學生跨領域學習獎勵要點,教務處,教務法規(#B),114.9.3,2025-09-03,01_行政單位/03_教務處/輔英科技大學學生跨領域學習獎勵要點_law02129.pdf,law02129.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02129.pdf,,已存在
輔英科技大學碩士班招生規定(原：碩士班招生辦法),教務處,教務法規(#B),110.9.27,2021-09-27,01_行政單位/03_教務處/輔英科技大學碩士班招生規定(原：碩士班招生辦法)_law02052.pdf,law02052.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02052.pdf,,已存在
輔英科技大學二年制學士班申請入學招生規定(原：二技申請入學招生規定),教務處,教務法規(#B),110.9.29,2021-09-29,01_行政單位/03_教務處/輔英科技大學二年制學士班申請入學招生規定(原：二技申請入學招生規定)_law02065.pdf,law02065.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02065.pdf,,已存在
輔英科技大學招生宣傳活動經費補助注意事項(原：輔英科技大學104學年度招生宣傳活動經費補助注意事項),教務處,教務法規(#B),113.5.22,2024-05-22,01_行政單位/03_教務處/輔英科技大學招生宣傳活動經費補助注意事項(原：輔英科技大學104學年度招生宣傳活動經費補助注意事項)_law02086.pdf,law02086.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02086.pdf,,已存在
輔英科技大學優秀新生獎獎勵要點(112學年度),教務處,教務法規(#B),112.11.29,2023-11-29,01_行政單位/03_教務處/輔英科技大學優秀新生獎獎勵要點(112學年度)_law02081-112.pdf,law02081-112.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02081-112.pdf,,已存在
輔英科技大學優秀新生獎獎勵要點(113學年度),教務處,教務法規(#B),112.11.29,2023-11-29,01_行政單位/03_教務處/輔英科技大學優秀新生獎獎勵要點(113學年度)_law02081-113.pdf,law02081-113.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02081-113.pdf,,已存在
輔英科技大學優秀新生獎獎勵要點(114學年度),教務處,教務法規(#B),113.11.13,2024-11-13,01_行政單位/03_教務處/輔英科技大學優秀新生獎獎勵要點(114學年度)_law02081-114.pdf,law02081-114.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02081-114.pdf,,已存在
輔英科技大學優秀新生獎獎勵要點(115學年度),教務處,教務法規(#B),114.12.31,2025-12-31,01_行政單位/03_教務處/輔英科技大學優秀新生獎獎勵要點(115學年度)_law02081-115.pdf,law02081-115.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02081-115.pdf,,已存在
輔英科技大學四技日間部單獨招生規定,教務處,教務法規(#B),110.9.14,2021-09-14,01_行政單位/03_教務處/輔英科技大學四技日間部單獨招生規定_law02112.pdf,law02112.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02112.pdf,,已存在
